ID,Track Displacement,Track Duration,Track Length,Track Speed Max,Track Speed Mean,Track Speed StdDev,Track Speed Variation,Track Veloc Mean,Track Acceleration,Track Direction Change Mean,Track Direction Change Max,Track Curvature Mean,Track Curvature Max,Track Angular Velocity Mean,Track Angular Velocity Max,Track Tortuosity
0,13.7100,17,63.9833,12.2390,4.0630,3.5491,0.8735,3.9990,0.6124,1.2592,2.8053,4.5014,11.0532,1.1980,2.8053,4.6669
2,26.2353,11,29.1317,5.5253,2.8833,1.3831,0.4797,2.9132,0.5810,0.2817,0.9321,7.5405,32.4126,0.2234,0.4661,1.1104
3,7.6264,4,9.5951,6.4323,4.0069,2.4255,0.6053,3.1984,2.4255,1.4033,1.4033,3.3863,3.3863,1.4033,1.4033,1.2581
